epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0,0.072905,0.017396,0,0.60405,0.49064,0.50138,0.24191,0.047876,0.014398,0,0.0033279,0.0033279,0.070049
1,0.052047,0.01348,0,0.64866,0.53779,0.5751,0.33452,0.044749,0.012409,0,0.0066597,0.0066597,0.040047
2,0.051459,0.01371,0,0.53697,0.45765,0.45423,0.24942,0.048336,0.014311,0,0.0099857,0.0099857,0.01004
3,0.048876,0.013376,0,0.64558,0.5187,0.55866,0.33444,0.042113,0.012297,0,0.00998,0.00998,0.00998
4,0.044896,0.012826,0,0.66257,0.5189,0.56546,0.35073,0.039441,0.012051,0,0.00998,0.00998,0.00998
5,0.042946,0.012183,0,0.66605,0.55832,0.59436,0.3739,0.037041,0.011554,0,0.0099645,0.0099645,0.0099645
6,0.040769,0.011943,0,0.66871,0.56964,0.6146,0.39445,0.035946,0.011286,0,0.0099446,0.0099446,0.0099446
7,0.039534,0.011581,0,0.65674,0.59599,0.62037,0.39119,0.035889,0.010947,0,0.0099203,0.0099203,0.0099203
8,0.039122,0.011609,0,0.6553,0.59531,0.62539,0.40575,0.034985,0.010998,0,0.0098916,0.0098916,0.0098916
9,0.037893,0.011233,0,0.6532,0.59915,0.62975,0.41157,0.034544,0.01076,0,0.0098586,0.0098586,0.0098586
10,0.038445,0.011323,0,0.67522,0.58864,0.63101,0.40871,0.03478,0.010886,0,0.0098213,0.0098213,0.0098213
11,0.036754,0.011231,0,0.68512,0.60477,0.65131,0.43232,0.033301,0.010461,0,0.0097798,0.0097798,0.0097798
12,0.036393,0.010975,0,0.69547,0.61047,0.65761,0.43395,0.033441,0.010428,0,0.009734,0.009734,0.009734
13,0.035453,0.010828,0,0.68538,0.62988,0.66736,0.45212,0.031934,0.010079,0,0.009684,0.009684,0.009684
14,0.035203,0.010548,0,0.64318,0.6505,0.65317,0.4399,0.032022,0.010432,0,0.0096299,0.0096299,0.0096299
15,0.034538,0.010619,0,0.68362,0.58035,0.64417,0.43882,0.031699,0.010597,0,0.0095717,0.0095717,0.0095717
16,0.033997,0.010386,0,0.72227,0.60822,0.67487,0.46084,0.031222,0.010004,0,0.0095095,0.0095095,0.0095095
17,0.033967,0.010479,0,0.68454,0.62583,0.66775,0.456,0.031433,0.010169,0,0.0094434,0.0094434,0.0094434
18,0.034851,0.010774,0,0.68102,0.63513,0.67107,0.45768,0.031476,0.010242,0,0.0093733,0.0093733,0.0093733
19,0.034414,0.010789,0,0.68611,0.63715,0.68036,0.46781,0.030633,0.0099802,0,0.0092995,0.0092995,0.0092995
20,0.033687,0.010304,0,0.71161,0.62624,0.68212,0.46622,0.031101,0.010006,0,0.0092219,0.0092219,0.0092219
21,0.034477,0.010449,0,0.6854,0.62806,0.66672,0.45839,0.031482,0.010177,0,0.0091406,0.0091406,0.0091406
22,0.033971,0.01032,0,0.67045,0.63414,0.67145,0.46592,0.030478,0.010024,0,0.0090557,0.0090557,0.0090557
23,0.033533,0.010503,0,0.70009,0.63978,0.69029,0.4769,0.03027,0.0097323,0,0.0089673,0.0089673,0.0089673
24,0.033074,0.010267,0,0.68327,0.65149,0.68778,0.47327,0.030462,0.0098761,0,0.0088755,0.0088755,0.0088755
25,0.033186,0.010314,0,0.73436,0.62846,0.69524,0.48177,0.02963,0.0097336,0,0.0087804,0.0087804,0.0087804
26,0.033077,0.010203,0,0.72037,0.63324,0.69544,0.48382,0.029357,0.0096976,0,0.008682,0.008682,0.008682
27,0.033118,0.010098,0,0.6826,0.65535,0.6882,0.47884,0.029707,0.0097098,0,0.0085805,0.0085805,0.0085805
28,0.033113,0.010232,0,0.69173,0.66545,0.69567,0.48568,0.029413,0.0097046,0,0.0084759,0.0084759,0.0084759
29,0.032187,0.010103,0,0.69257,0.66485,0.69948,0.49098,0.028989,0.0095222,0,0.0083684,0.0083684,0.0083684
30,0.032089,0.0099391,0,0.69092,0.67148,0.70324,0.49635,0.028642,0.0095064,0,0.0082581,0.0082581,0.0082581
31,0.031617,0.009887,0,0.67764,0.67776,0.70018,0.49326,0.028776,0.0095278,0,0.008145,0.008145,0.008145
32,0.031933,0.010054,0,0.70772,0.65029,0.70025,0.49275,0.028528,0.0095029,0,0.0080294,0.0080294,0.0080294
33,0.031748,0.0099488,0,0.69268,0.67204,0.70548,0.50019,0.028238,0.0094235,0,0.0079112,0.0079112,0.0079112
34,0.031526,0.0098593,0,0.70554,0.65494,0.7052,0.50181,0.02828,0.0095107,0,0.0077907,0.0077907,0.0077907
35,0.03131,0.0097961,0,0.71159,0.65386,0.70807,0.50545,0.028322,0.009374,0,0.0076679,0.0076679,0.0076679
36,0.031499,0.0098281,0,0.72325,0.6635,0.71635,0.50655,0.028332,0.009322,0,0.007543,0.007543,0.007543
37,0.031155,0.0099478,0,0.73435,0.65211,0.71602,0.50644,0.028347,0.0092991,0,0.007416,0.007416,0.007416
38,0.030424,0.0096771,0,0.74498,0.65014,0.71938,0.51331,0.027795,0.0092408,0,0.0072872,0.0072872,0.0072872
39,0.030385,0.0096255,0,0.74388,0.65009,0.72089,0.5143,0.027445,0.009178,0,0.0071566,0.0071566,0.0071566
40,0.030306,0.0096699,0,0.71892,0.67031,0.72333,0.51716,0.027557,0.0091774,0,0.0070243,0.0070243,0.0070243
41,0.02997,0.0094687,0,0.72547,0.66262,0.72193,0.51766,0.027473,0.0091866,0,0.0068906,0.0068906,0.0068906
42,0.030795,0.0097119,0,0.70923,0.67253,0.71912,0.51668,0.027278,0.0092836,0,0.0067555,0.0067555,0.0067555
43,0.030288,0.0095214,0,0.72609,0.66182,0.721,0.51869,0.02736,0.0091898,0,0.0066191,0.0066191,0.0066191
44,0.030096,0.0094916,0,0.742,0.64948,0.72295,0.51933,0.027233,0.0091178,0,0.0064816,0.0064816,0.0064816
45,0.029999,0.0094528,0,0.68402,0.70629,0.72556,0.52188,0.027225,0.0090716,0,0.0063432,0.0063432,0.0063432
46,0.030426,0.0096424,0,0.73988,0.64726,0.72232,0.51925,0.027262,0.0090975,0,0.006204,0.006204,0.006204
47,0.02952,0.0092153,0,0.70898,0.68601,0.72608,0.52165,0.026939,0.0090564,0,0.006064,0.006064,0.006064
48,0.029459,0.0092152,0,0.71866,0.67718,0.72842,0.52362,0.02702,0.0090271,0,0.0059235,0.0059235,0.0059235
49,0.030065,0.0093646,0,0.71839,0.67394,0.72732,0.52513,0.026671,0.0090566,0,0.0057826,0.0057826,0.0057826
50,0.029379,0.0092105,0,0.72907,0.67072,0.72964,0.52688,0.026637,0.0090058,0,0.0056413,0.0056413,0.0056413
51,0.028502,0.0090431,0,0.74648,0.66128,0.73177,0.53115,0.026449,0.0090077,0,0.0055,0.0055,0.0055
52,0.028552,0.0089734,0,0.74413,0.66323,0.73154,0.528,0.02658,0.0089805,0,0.0053587,0.0053587,0.0053587
53,0.028081,0.0089752,0,0.75747,0.6566,0.73482,0.53165,0.026553,0.0089423,0,0.0052174,0.0052174,0.0052174
54,0.028053,0.0088264,0,0.73437,0.67111,0.73416,0.53252,0.026543,0.0089566,0,0.0050765,0.0050765,0.0050765
55,0.027758,0.0089031,0,0.70779,0.69396,0.73695,0.53172,0.026389,0.0089557,0,0.004936,0.004936,0.004936
56,0.0277,0.008682,0,0.71454,0.68668,0.73466,0.53364,0.026286,0.0089679,0,0.004796,0.004796,0.004796
57,0.027389,0.0087375,0,0.72593,0.68304,0.73523,0.53381,0.026259,0.0089404,0,0.0046568,0.0046568,0.0046568
58,0.02726,0.0086902,0,0.70378,0.70608,0.73728,0.53702,0.026155,0.0088976,0,0.0045184,0.0045184,0.0045184
59,0.02688,0.0085631,0,0.71626,0.69739,0.74046,0.53881,0.026083,0.0088619,0,0.0043809,0.0043809,0.0043809
60,0.026966,0.0086842,0,0.72657,0.68485,0.73935,0.53748,0.026066,0.0088596,0,0.0042445,0.0042445,0.0042445
61,0.027064,0.0087865,0,0.75316,0.66566,0.73927,0.53702,0.026016,0.008856,0,0.0041094,0.0041094,0.0041094
62,0.026709,0.0084503,0,0.75724,0.66283,0.74071,0.53783,0.025968,0.0088645,0,0.0039757,0.0039757,0.0039757
63,0.026841,0.0084244,0,0.73512,0.68162,0.74119,0.53873,0.025991,0.0088916,0,0.0038434,0.0038434,0.0038434
64,0.02667,0.008381,0,0.73077,0.68586,0.74365,0.54163,0.025931,0.0088731,0,0.0037128,0.0037128,0.0037128
65,0.026375,0.0084668,0,0.76816,0.66384,0.74389,0.54335,0.025853,0.0088467,0,0.003584,0.003584,0.003584
66,0.026301,0.0084385,0,0.75117,0.67698,0.74509,0.54353,0.025822,0.0088186,0,0.003457,0.003457,0.003457
67,0.026176,0.0083562,0,0.74921,0.68057,0.74445,0.54393,0.025858,0.0088069,0,0.0033321,0.0033321,0.0033321
68,0.026453,0.0083382,0,0.73824,0.6885,0.74495,0.54499,0.025841,0.0087992,0,0.0032093,0.0032093,0.0032093
69,0.026389,0.0082897,0,0.72618,0.69746,0.74464,0.54484,0.025733,0.0088087,0,0.0030888,0.0030888,0.0030888
70,0.026131,0.0083755,0,0.76356,0.66343,0.74441,0.545,0.02574,0.0088026,0,0.0029706,0.0029706,0.0029706
71,0.025938,0.0083142,0,0.74631,0.679,0.74457,0.54717,0.025698,0.0088079,0,0.002855,0.002855,0.002855
72,0.025929,0.0081528,0,0.74842,0.68073,0.74465,0.54598,0.025682,0.0088134,0,0.0027419,0.0027419,0.0027419
73,0.025523,0.0081914,0,0.74638,0.68324,0.74538,0.54685,0.025684,0.0088085,0,0.0026316,0.0026316,0.0026316
74,0.025681,0.0081918,0,0.75053,0.68234,0.74582,0.54772,0.025614,0.0088052,0,0.0025241,0.0025241,0.0025241
75,0.025564,0.0081001,0,0.75469,0.6792,0.74684,0.5488,0.025565,0.0087934,0,0.0024195,0.0024195,0.0024195
76,0.026132,0.0083273,0,0.7513,0.68405,0.74768,0.54954,0.025513,0.0087717,0,0.002318,0.002318,0.002318
77,0.026125,0.0082861,0,0.7365,0.69834,0.7481,0.54977,0.025473,0.0087482,0,0.0022196,0.0022196,0.0022196
78,0.026046,0.0083019,0,0.74247,0.69315,0.74793,0.54989,0.025493,0.0087351,0,0.0021245,0.0021245,0.0021245
79,0.025917,0.0083566,0,0.75096,0.6891,0.74872,0.55038,0.025466,0.0087276,0,0.0020327,0.0020327,0.0020327
80,0.025381,0.0081544,0,0.75946,0.68481,0.74966,0.55116,0.025439,0.0087088,0,0.0019443,0.0019443,0.0019443
81,0.025354,0.0081938,0,0.74881,0.69598,0.75134,0.55232,0.02541,0.0086891,0,0.0018594,0.0018594,0.0018594
82,0.025526,0.0081944,0,0.74968,0.69679,0.7528,0.55267,0.025372,0.0086913,0,0.0017781,0.0017781,0.0017781
83,0.025226,0.0080675,0,0.76146,0.68529,0.7524,0.5532,0.025334,0.0086845,0,0.0017005,0.0017005,0.0017005
84,0.025532,0.0081675,0,0.75231,0.69092,0.75266,0.55411,0.025313,0.0086859,0,0.0016267,0.0016267,0.0016267
85,0.025305,0.0079559,0,0.73601,0.70548,0.75295,0.55503,0.025307,0.0086815,0,0.0015566,0.0015566,0.0015566
86,0.025144,0.0079368,0,0.73324,0.7079,0.75298,0.55498,0.025303,0.0086775,0,0.0014905,0.0014905,0.0014905
87,0.025119,0.0079054,0,0.73385,0.70506,0.7531,0.55491,0.0253,0.0086772,0,0.0014283,0.0014283,0.0014283
88,0.024873,0.0078114,0,0.7381,0.70245,0.75286,0.55502,0.0253,0.0086755,0,0.0013701,0.0013701,0.0013701
89,0.024708,0.0077265,0,0.73751,0.70447,0.75328,0.55532,0.025291,0.0086796,0,0.001316,0.001316,0.001316
90,0.02473,0.0077915,0,0.74805,0.69375,0.75349,0.5553,0.025284,0.0086777,0,0.001266,0.001266,0.001266
91,0.025173,0.007829,0,0.74094,0.69955,0.75294,0.55563,0.025276,0.0086796,0,0.0012202,0.0012202,0.0012202
92,0.024829,0.0077991,0,0.7557,0.6885,0.7531,0.55608,0.025281,0.0086794,0,0.0011787,0.0011787,0.0011787
